iter	Passed	Remaining
0	128	128118
1	130	64991
2	134	44588
3	137	34173
4	139	27725
5	140	23358
6	142	20247
7	145	18028
8	147	16228
9	148	14737
10	150	13510
11	151	12497
12	153	11623
13	154	10875
14	155	10229
15	157	9666
16	158	9179
17	160	8770
18	161	8355
19	162	7981
20	163	7641
21	164	7329
22	165	7049
23	166	6790
24	167	6551
25	168	6330
26	169	6123
27	170	5930
28	171	5754
29	172	5586
30	173	5427
31	174	5274
32	175	5131
33	175	4995
34	176	4865
35	177	4743
36	177	4628
37	178	4519
38	179	4414
39	179	4313
40	180	4218
41	181	4129
42	181	4042
43	182	3958
44	182	3878
45	183	3802
46	183	3729
47	184	3658
48	185	3592
49	185	3532
50	186	3473
51	187	3416
52	187	3359
53	188	3303
54	189	3249
55	189	3197
56	190	3147
57	190	3098
58	191	3051
59	191	3006
60	192	2962
61	193	2920
62	193	2878
63	194	2839
64	194	2800
65	195	2762
66	195	2728
67	196	2692
68	197	2658
69	197	2624
70	198	2592
71	198	2560
72	199	2530
73	199	2500
74	200	2471
75	200	2442
76	201	2415
77	202	2389
78	202	2365
79	203	2340
80	204	2315
81	204	2290
82	204	2263
83	205	2240
84	206	2217
85	206	2195
86	207	2173
87	207	2152
88	208	2131
89	208	2110
90	209	2090
91	209	2071
92	210	2052
93	211	2034
94	211	2015
95	212	1997
96	212	1980
97	213	1963
98	213	1947
99	214	1932
100	215	1916
101	215	1900
102	216	1884
103	217	1870
104	217	1856
105	218	1842
106	219	1827
107	219	1813
108	220	1799
109	220	1785
110	221	1772
111	221	1758
112	222	1745
113	222	1732
114	223	1719
115	223	1706
116	224	1693
117	224	1681
118	225	1669
119	226	1657
120	226	1646
121	227	1633
122	227	1622
123	228	1611
124	228	1600
125	229	1590
126	229	1578
127	230	1568
128	230	1558
129	231	1548
130	232	1539
131	232	1530
132	233	1521
133	233	1511
134	234	1502
135	234	1492
136	235	1483
137	236	1474
138	236	1465
139	237	1457
140	237	1448
141	238	1438
142	238	1430
143	239	1421
144	239	1414
145	240	1406
146	241	1398
147	241	1390
148	242	1382
149	242	1375
150	243	1367
151	243	1360
152	244	1352
153	244	1345
154	245	1338
155	246	1331
156	246	1325
157	247	1318
158	248	1312
159	248	1305
160	249	1297
161	249	1291
162	250	1284
163	250	1278
164	251	1271
165	251	1265
166	252	1258
167	252	1252
168	253	1246
169	254	1240
170	254	1234
171	255	1228
172	255	1222
173	256	1216
174	256	1210
175	257	1205
176	258	1199
177	258	1194
178	259	1189
179	259	1183
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	262	1158
185	263	1153
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	267	1123
192	267	1119
193	268	1114
194	268	1109
195	269	1104
196	269	1100
197	270	1095
198	271	1090
199	271	1086
200	272	1081
201	272	1077
202	273	1072
203	273	1068
204	274	1063
205	274	1059
206	275	1054
207	275	1050
208	276	1046
209	277	1042
210	277	1038
211	278	1034
212	278	1030
213	279	1026
214	279	1022
215	280	1018
216	281	1013
217	281	1009
218	282	1005
219	282	1001
220	283	998
221	283	994
222	284	990
223	284	986
224	285	982
225	285	979
226	286	975
227	287	972
228	287	968
229	288	965
230	288	961
231	289	957
232	289	954
233	290	950
234	291	947
235	291	943
236	292	940
237	292	937
238	293	934
239	293	930
240	294	927
241	295	924
242	295	921
243	296	917
244	296	914
245	297	911
246	297	907
247	298	904
248	298	901
249	299	898
250	299	895
251	300	891
252	301	889
253	301	886
254	302	883
255	302	880
256	303	877
257	304	874
258	304	871
259	305	868
260	305	865
261	306	862
262	306	859
263	307	857
264	308	855
265	308	852
266	309	849
267	309	846
268	310	843
269	310	840
270	311	837
271	312	835
272	312	832
273	313	829
274	313	827
275	314	824
276	314	821
277	315	819
278	316	816
279	316	814
280	317	811
281	317	808
282	318	806
283	318	803
284	319	801
285	319	798
286	320	796
287	321	793
288	321	791
289	322	789
290	323	787
291	323	785
292	324	783
293	325	780
294	325	778
295	326	775
296	326	773
297	327	771
298	327	768
299	328	766
300	328	764
301	329	761
302	330	759
303	330	757
304	331	754
305	331	752
306	332	750
307	332	748
